shift,duty,report,depart,location,startbreak,startbreaklocation,breakreport,finishbreak,finishbreaklocation,finish,finishlocation,signoff,spread,work,relief
DZ1/01,001,04:27:00,04:35:00,Garage,nan,nan,nan,nan,nan,09:27:00,Eden Quay,09:55:00,05:28:00,05:28:00,00:00:00
DZ1/02,002,04:37:00,04:45:00,Garage,nan,nan,nan,nan,nan,09:10:00,PSQE,09:40:00,05:03:00,05:03:00,00:00:00
DZ1/03,003,04:52:00,05:00:00,Garage,08:20:00,B Walk,09:50:00,09:50:00,PSQE,11:50:00,PSQW,12:20:00,07:28:00,05:58:00,01:30:00
DZ1/04,004,04:57:00,05:05:00,Garage,09:48:00,Eden Quay,10:45:00,10:45:00,PSQW,11:50:00,PSQE,12:20:00,07:23:00,06:26:00,00:57:00
DZ1/05,005,05:06:00,05:14:00,Garage,nan,nan,nan,nan,nan,10:25:00,Hawkins Street,10:53:00,05:47:00,05:47:00,00:00:00
DZ1/06,006,05:07:00,05:15:00,Garage,08:32:00,B Walk,09:30:00,09:30:00,PSQW,12:20:00,PSQW,12:50:00,07:43:00,06:45:00,00:58:00
DZ1/07,007,05:22:00,05:30:00,Garage,09:50:00,PSQE,10:50:00,10:50:00,PSQE,12:55:00,PSQW,13:25:00,08:03:00,07:03:00,01:00:00
DZ1/08,008,05:23:00,05:31:00,Garage,nan,nan,nan,nan,nan,11:01:00,B Walk,11:29:00,06:06:00,06:06:00,00:00:00
DZ1/09,009,05:27:00,05:35:00,Garage,08:16:00,Hawkins Street,09:10:00,09:10:00,PSQE,12:17:00,Garage,12:17:00,06:50:00,05:56:00,00:54:00
DZ1/10,010,05:31:00,05:39:00,Garage,08:09:00,Aston Q,09:06:00,09:06:00,Hawkins Street,12:35:00,Hawkins Street,13:03:00,07:32:00,06:35:00,00:57:00
DZ1/11,011,05:32:00,05:40:00,Garage,10:03:00,B Walk,11:20:00,11:20:00,PSQW,12:23:00,Garage,12:23:00,06:51:00,05:34:00,01:17:00
DZ1/12,012,05:37:00,05:45:00,Garage,10:25:00,Eden Quay,11:30:00,11:30:00,Eden Quay,12:55:00,Hawkins Street,13:23:00,07:46:00,06:41:00,01:05:00
DZ1/13,013,05:42:00,05:50:00,Garage,nan,nan,nan,nan,nan,11:20:00,PSQW,11:50:00,06:08:00,06:08:00,00:00:00
DZ1/14,014,05:46:00,05:54:00,Garage,08:31:00,Aston Q,09:27:00,09:27:00,Eden Quay,12:50:00,Eden Quay,13:18:00,07:32:00,06:36:00,00:56:00
DZ1/15,015,05:47:00,05:55:00,Garage,10:25:00,Garage,11:20:00,11:50:00,PSQW,12:50:00,PSQE,13:20:00,07:33:00,06:38:00,00:55:00
DZ1/16,016,05:51:00,05:59:00,Garage,09:06:00,Hawkins Street,10:03:00,10:03:00,B Walk,12:27:00,B Walk,12:55:00,07:04:00,06:07:00,00:57:00
DZ1/17,017,05:52:00,06:00:00,Garage,nan,nan,nan,nan,nan,10:45:00,PSQW,11:15:00,05:23:00,05:23:00,00:00:00
DZ1/18,018,05:53:00,06:01:00,Garage,nan,nan,nan,nan,nan,11:15:00,Garage,11:15:00,05:22:00,05:22:00,00:00:00
DZ1/19,019,06:00:00,06:08:00,Garage,09:30:00,PSQW,10:25:00,10:25:00,Hawkins Street,13:55:00,Hawkins Street,14:23:00,08:23:00,07:28:00,00:55:00
DZ1/20,020,06:01:00,06:09:00,Garage,09:45:00,B Walk,11:30:00,11:30:00,PSQW,15:20:00,PSQE,15:50:00,09:49:00,08:04:00,01:45:00
DZ1/21,021,06:02:00,06:10:00,Garage,09:33:00,Aston Q,10:35:00,10:35:00,Hawkins Street,14:00:00,Garage,14:00:00,07:58:00,06:56:00,01:02:00
DZ1/22,022,06:03:00,06:11:00,Garage,09:24:00,Hawkins Street,10:25:00,10:25:00,Eden Quay,15:15:00,Hawkins Street,15:43:00,09:40:00,08:39:00,01:01:00
DZ1/23,023,06:07:00,06:15:00,Garage,10:00:00,Eden Quay,11:05:00,11:05:00,PSQE,15:48:00,Garage,15:48:00,09:39:00,08:34:00,01:05:00
DZ1/24,024,06:12:00,06:20:00,Garage,09:07:00,Aston Q,10:15:00,10:15:00,Eden Quay,15:10:00,Hawkins Street,15:38:00,09:26:00,08:18:00,01:08:00
DZ1/25,025,06:17:00,06:25:00,Garage,nan,nan,nan,nan,nan,11:40:00,PSQW,12:10:00,05:53:00,05:53:00,00:00:00
DZ1/26,026,06:22:00,06:30:00,Garage,11:30:00,Eden Quay,12:35:00,12:35:00,Hawkins Street,14:15:00,Eden Quay,14:43:00,08:21:00,07:16:00,01:05:00
DZ1/27,027,06:30:00,06:38:00,Garage,10:50:00,PSQE,11:50:00,11:50:00,PSQE,14:50:00,PSQE,15:20:00,08:50:00,07:50:00,01:00:00
DZ1/28,028,06:31:00,06:39:00,Garage,08:05:00,Eden Quay,09:07:00,09:07:00,Aston Q,13:57:00,Aston Q,14:25:00,07:54:00,06:52:00,01:02:00
DZ1/29,029,06:32:00,06:40:00,Garage,11:30:00,PSQW,12:33:00,12:33:00,Aston Q,14:57:00,Aston Q,15:25:00,08:53:00,07:50:00,01:03:00
DZ1/30,030,06:42:00,06:50:00,Garage,12:00:00,Eden Quay,12:55:00,12:55:00,Hawkins Street,14:40:00,Eden Quay,15:08:00,08:26:00,07:31:00,00:55:00
DZ1/31,031,06:46:00,06:54:00,Garage,09:28:00,Garage,10:33:00,11:01:00,B Walk,15:10:00,Aston Q,15:38:00,08:52:00,07:47:00,01:05:00
DZ1/32,032,06:56:00,07:04:00,Garage,11:20:00,PSQE,12:57:00,12:57:00,Aston Q,15:26:00,Aston Q,15:54:00,08:58:00,07:21:00,01:37:00
DZ1/33,033,11:32:00,12:03:00,B Walk,16:14:00,Aston Q,17:15:00,17:15:00,B Walk,20:10:00,Garage,20:10:00,08:38:00,07:37:00,01:01:00
DZ1/34,034,11:32:00,12:05:00,PSQE,15:10:00,PSQW,16:35:00,16:35:00,PSQW,20:50:00,PSQE,21:20:00,09:48:00,08:23:00,01:25:00
DZ1/35,035,11:38:00,12:09:00,Aston Q,17:07:00,PSQE,18:21:00,18:21:00,Eden Quay,20:13:00,Garage,20:13:00,08:35:00,07:21:00,01:14:00
DZ1/36,036,11:47:00,12:20:00,PSQW,16:25:00,PSQE,17:35:00,17:35:00,PSQE,20:34:00,Garage,20:34:00,08:47:00,07:37:00,01:10:00
DZ1/37,037,11:56:00,12:27:00,B Walk,16:43:00,Aston Q,17:39:00,17:39:00,B Walk,20:25:00,Garage,20:25:00,08:29:00,07:33:00,00:56:00
DZ1/38,038,11:59:00,12:30:00,Eden Quay,16:00:00,Eden Quay,17:10:00,17:10:00,Hawkins Street,20:56:00,Garage,20:56:00,08:57:00,07:47:00,01:10:00
DZ1/39,039,12:08:00,12:39:00,B Walk,17:39:00,B Walk,18:57:00,18:57:00,Aston Q,21:35:00,B Walk,22:03:00,09:55:00,08:37:00,01:18:00
DZ1/40,040,12:09:00,12:40:00,Eden Quay,16:15:00,Eden Quay,17:10:00,17:10:00,Eden Quay,20:33:00,Garage,20:33:00,08:24:00,07:29:00,00:55:00
DZ1/41,041,12:12:00,12:15:00,Garage,15:35:00,Eden Quay,16:40:00,16:40:00,Hawkins Street,21:50:00,Garage,21:50:00,09:38:00,08:33:00,01:05:00
DZ1/42,042,12:17:00,12:50:00,PSQE,15:55:00,PSQE,17:00:00,17:00:00,Hawkins Street,20:40:00,Hawkins Street,21:08:00,08:51:00,07:46:00,01:05:00
