shift,duty,report,depart,location,startbreak,startbreaklocation,breakreport,finishbreak,finishbreaklocation,finish,finishlocation,signoff,spread,work,relief
DZ1/01,001,04:32:00,04:40:00,Garage,nan,nan,nan,nan,nan,09:30:00,Hawkins Street,09:58:00,05:26:00,05:26:00,00:00:00
DZ1/02,002,04:52:00,05:00:00,Garage,nan,nan,nan,nan,nan,10:15:00,Hawkins Street,10:43:00,05:51:00,05:51:00,00:00:00
DZ1/03,003,05:21:00,05:29:00,Garage,08:00:00,B Walk,08:55:00,08:55:00,Hawkins Street,12:15:00,Hawkins Street,12:43:00,07:22:00,06:27:00,00:55:00
DZ1/04,004,05:22:00,05:30:00,Garage,08:00:00,Hawkins Street,09:14:00,09:50:00,Garage,13:00:00,B Walk,13:28:00,08:06:00,06:52:00,01:14:00
DZ1/05,005,05:32:00,05:40:00,Garage,09:10:00,B Walk,10:24:00,11:00:00,Garage,12:25:00,Eden Quay,12:53:00,07:21:00,06:07:00,01:14:00
DZ1/06,006,05:50:00,05:58:00,Garage,08:05:00,PSQE,09:10:00,09:10:00,Eden Quay,12:15:00,Garage,12:15:00,06:25:00,05:20:00,01:05:00
DZ1/07,007,05:51:00,05:59:00,Garage,08:40:00,B Walk,09:40:00,09:40:00,B Walk,12:00:00,B Walk,12:28:00,06:37:00,05:37:00,01:00:00
DZ1/08,008,05:52:00,06:00:00,Garage,08:25:00,Hawkins Street,09:35:00,09:35:00,PSQE,12:35:00,PSQE,13:05:00,07:13:00,06:03:00,01:10:00
DZ1/09,009,06:02:00,06:10:00,Garage,09:25:00,B Walk,10:25:00,10:25:00,PSQW,14:35:00,PSQW,15:05:00,09:03:00,08:03:00,01:00:00
DZ1/10,010,06:07:00,06:15:00,Garage,10:30:00,Hawkins Street,11:35:00,11:35:00,Hawkins Street,14:00:00,Eden Quay,14:28:00,08:21:00,07:16:00,01:05:00
DZ1/11,011,06:12:00,06:20:00,Garage,09:35:00,PSQE,10:30:00,10:30:00,Hawkins Street,14:45:00,Hawkins Street,15:13:00,09:01:00,08:06:00,00:55:00
DZ1/12,012,06:21:00,06:29:00,Garage,08:55:00,Hawkins Street,10:15:00,10:15:00,Hawkins Street,13:50:00,Hawkins Street,14:18:00,07:57:00,06:37:00,01:20:00
DZ1/13,013,06:22:00,06:30:00,Garage,10:25:00,PSQW,11:25:00,11:25:00,B Walk,15:30:00,Aston Q,15:58:00,09:36:00,08:36:00,01:00:00
DZ1/14,014,06:32:00,06:40:00,Garage,10:05:00,PSQE,11:05:00,11:05:00,Eden Quay,15:30:00,Eden Quay,15:58:00,09:26:00,08:26:00,01:00:00
DZ1/15,015,06:37:00,06:45:00,Garage,08:10:00,B Walk,09:25:00,09:25:00,B Walk,14:15:00,B Walk,14:43:00,08:06:00,06:51:00,01:15:00
DZ1/16,016,06:51:00,06:59:00,Garage,12:05:00,PSQE,13:15:00,13:15:00,Eden Quay,15:05:00,Hawkins Street,15:33:00,08:42:00,07:32:00,01:10:00
DZ1/17,017,06:52:00,07:00:00,Garage,09:40:00,B Walk,10:49:00,11:25:00,Garage,16:05:00,PSQW,16:35:00,09:43:00,08:34:00,01:09:00
DZ1/18,018,07:07:00,07:15:00,Garage,08:55:00,B Walk,10:09:00,10:45:00,Garage,15:50:00,Garage,15:50:00,08:43:00,07:29:00,01:14:00
DZ1/19,019,07:29:00,08:00:00,B Walk,12:15:00,B Walk,13:15:00,13:15:00,B Walk,15:40:00,B Walk,16:08:00,08:39:00,07:39:00,01:00:00
DZ1/20,020,07:29:00,08:00:00,Hawkins Street,09:10:00,Eden Quay,10:54:00,11:30:00,Garage,15:45:00,PSQE,16:15:00,08:46:00,07:02:00,01:44:00
DZ1/21,021,07:32:00,08:05:00,PSQE,12:25:00,PSQW,13:35:00,13:35:00,PSQE,15:55:00,Eden Quay,16:25:00,08:53:00,07:43:00,01:10:00
DZ1/22,022,07:37:00,07:45:00,Garage,12:45:00,B Walk,13:40:00,13:40:00,Hawkins Street,16:00:00,Eden Quay,16:28:00,08:51:00,07:56:00,00:55:00
DZ1/23,023,07:39:00,08:10:00,B Walk,12:30:00,B Walk,13:30:00,13:30:00,B Walk,16:10:00,B Walk,16:38:00,08:59:00,07:59:00,01:00:00
DZ1/24,024,08:09:00,08:40:00,B Walk,13:15:00,B Walk,14:15:00,14:15:00,B Walk,17:09:00,Garage,17:09:00,09:00:00,08:00:00,01:00:00
DZ1/25,025,11:47:00,11:55:00,Garage,14:10:00,PSQW,15:30:00,15:30:00,Aston Q,20:05:00,Garage,20:05:00,08:18:00,06:58:00,01:20:00
DZ1/26,026,11:50:00,11:58:00,Garage,16:45:00,B Walk,18:15:00,18:15:00,Hawkins Street,20:10:00,Eden Quay,20:38:00,08:48:00,07:18:00,01:30:00
DZ1/27,027,11:51:00,11:59:00,Garage,16:15:00,PSQE,17:15:00,17:15:00,Aston Q,20:10:00,B Walk,20:38:00,08:47:00,07:47:00,01:00:00
DZ1/28,028,11:52:00,12:25:00,PSQW,13:35:00,PSQE,14:35:00,14:35:00,PSQE,19:50:00,PSQW,20:20:00,08:28:00,07:28:00,01:00:00
DZ1/29,029,11:52:00,12:00:00,Garage,15:35:00,Hawkins Street,16:40:00,16:40:00,PSQE,20:25:00,Eden Quay,20:53:00,09:01:00,07:56:00,01:05:00
DZ1/30,030,11:54:00,12:25:00,Eden Quay,16:40:00,Eden Quay,17:45:00,17:45:00,B Walk,20:16:00,Garage,20:16:00,08:22:00,07:17:00,01:05:00
DZ1/31,031,11:59:00,12:30:00,B Walk,17:30:00,B Walk,18:45:00,18:45:00,Aston Q,21:00:00,Aston Q,21:28:00,09:29:00,08:14:00,01:15:00
DZ1/32,032,12:02:00,12:35:00,PSQE,16:00:00,PSQE,17:25:00,17:25:00,PSQW,20:20:00,PSQW,20:50:00,08:48:00,07:23:00,01:25:00
DZ1/33,033,12:14:00,12:45:00,B Walk,17:45:00,B Walk,19:00:00,19:00:00,Eden Quay,20:45:00,Hawkins Street,21:13:00,08:59:00,07:44:00,01:15:00
DZ1/34,034,12:21:00,12:29:00,Garage,16:48:00,Garage,18:22:00,18:40:00,B Walk,20:50:00,B Walk,21:18:00,08:57:00,07:28:00,01:29:00
DZ1/35,035,12:22:00,12:55:00,PSQW,17:30:00,PSQE,19:05:00,19:05:00,Hawkins Street,20:50:00,Eden Quay,21:18:00,08:56:00,07:21:00,01:35:00
DZ1/36,036,12:22:00,12:30:00,Garage,17:25:00,PSQW,19:10:00,19:10:00,Eden Quay,20:55:00,Hawkins Street,21:23:00,09:01:00,07:16:00,01:45:00
DZ1/37,037,13:19:00,13:50:00,Hawkins Street,18:25:00,Hawkins Street,19:25:00,19:25:00,B Walk,21:10:00,Hawkins Street,21:38:00,08:19:00,07:19:00,01:00:00
DZ1/38,038,13:29:00,14:00:00,Eden Quay,18:45:00,Eden Quay,19:50:00,19:50:00,Hawkins Street,21:35:00,Eden Quay,22:03:00,08:34:00,07:29:00,01:05:00
DZ1/39,039,14:12:00,14:15:00,Garage,17:25:00,Hawkins Street,18:30:00,18:30:00,B Walk,22:00:00,Eden Quay,22:28:00,08:16:00,07:11:00,01:05:00
DZ1/40,040,14:44:00,15:15:00,Eden Quay,19:10:00,Eden Quay,20:40:00,20:40:00,Aston Q,00:20:00,Garage,00:20:00,09:36:00,08:06:00,01:30:00
DZ1/41,041,14:59:00,15:30:00,Eden Quay,19:25:00,Eden Quay,20:20:00,20:20:00,PSQW,00:43:00,Garage,00:43:00,09:44:00,08:49:00,00:55:00
DZ1/42,042,15:02:00,15:35:00,PSQE,19:00:00,PSQW,20:10:00,20:10:00,B Walk,00:31:00,Garage,00:31:00,09:29:00,08:19:00,01:10:00
DZ1/43,043,15:02:00,15:05:00,Garage,18:30:00,B Walk,19:30:00,19:30:00,PSQE,00:40:00,Garage,00:40:00,09:38:00,08:38:00,01:00:00
DZ1/44,044,15:04:00,15:35:00,Hawkins Street,19:50:00,Hawkins Street,20:30:00,20:30:00,B Walk,00:00:00,Garage,00:00:00,08:56:00,07:56:00,01:00:00
DZ1/45,045,15:07:00,15:10:00,Garage,19:00:00,Eden Quay,20:30:00,20:30:00,Hawkins Street,00:55:00,Garage,00:55:00,09:48:00,08:18:00,01:30:00
DZ1/46,046,15:09:00,15:40:00,B Walk,19:25:00,Garage,20:32:00,21:00:00,Aston Q,00:40:00,Garage,00:40:00,09:31:00,08:24:00,01:07:00
DZ1/47,047,15:27:00,16:00:00,PSQE,19:30:00,PSQE,20:45:00,20:45:00,Hawkins Street,01:20:00,Garage,01:20:00,09:53:00,08:38:00,01:15:00
DZ1/48,048,15:29:00,16:00:00,Eden Quay,18:15:00,Hawkins Street,19:50:00,19:50:00,B Walk,00:11:00,Garage,00:11:00,08:42:00,07:07:00,01:35:00
DZ1/49,049,15:32:00,16:05:00,PSQW,17:30:00,Garage,18:30:00,19:00:00,PSQE,00:15:00,Garage,00:15:00,08:43:00,07:43:00,01:00:00
DZ1/50,050,15:39:00,16:10:00,B Walk,18:40:00,B Walk,19:50:00,19:50:00,PSQW,00:18:00,Garage,00:18:00,08:39:00,07:29:00,01:10:00
DZ1/51,051,16:14:00,16:45:00,B Walk,20:40:00,Aston Q,22:00:00,22:00:00,Aston Q,00:51:00,Garage,00:51:00,08:37:00,07:17:00,01:20:00
DZ1/52,052,16:19:00,16:50:00,Eden Quay,19:05:00,Hawkins Street,20:10:00,20:10:00,Eden Quay,00:50:00,Garage,00:50:00,08:31:00,07:26:00,01:05:00
DZ1/53,053,16:29:00,17:00:00,B Walk,18:45:00,Aston Q,20:25:00,20:25:00,Eden Quay,01:15:00,Garage,01:15:00,08:46:00,07:06:00,01:40:00
DZ1/54,054,16:54:00,17:25:00,Hawkins Street,20:40:00,Eden Quay,21:35:00,21:35:00,Eden Quay,01:28:00,Garage,01:28:00,08:34:00,07:39:00,00:55:00
DZ1/55,055,16:59:00,17:30:00,B Walk,19:50:00,B Walk,20:50:00,20:50:00,Eden Quay,01:30:00,Garage,01:30:00,08:31:00,07:31:00,01:00:00
DZ1/56,056,18:47:00,19:20:00,PSQW,nan,nan,nan,nan,nan,00:38:00,Garage,00:38:00,05:51:00,05:51:00,00:00:00
