shift,duty,report,depart,location,startbreak,startbreaklocation,breakreport,finishbreak,finishbreaklocation,finish,finishlocation,signoff,spread,work,relief
DZ1/01,001,04:22:00,04:30:00,Garage,nan,nan,nan,nan,nan,10:00:00,Garage,10:00:00,05:38:00,05:38:00,00:00:00
DZ1/02,002,04:52:00,05:00:00,Garage,nan,nan,nan,nan,nan,10:20:00,Hawkins Street,10:48:00,05:56:00,05:56:00,00:00:00
DZ1/03,003,05:22:00,05:30:00,Garage,nan,nan,nan,nan,nan,09:40:00,Eden Quay,10:08:00,04:46:00,04:46:00,00:00:00
DZ1/04,004,07:22:00,07:30:00,Garage,10:10:00,B Walk,11:09:00,11:45:00,Garage,15:10:00,Eden Quay,15:38:00,08:16:00,07:17:00,00:59:00
DZ1/05,005,07:32:00,07:40:00,Garage,nan,nan,nan,nan,nan,12:45:00,Aston Q,13:13:00,05:41:00,05:41:00,00:00:00
DZ1/06,006,07:51:00,07:59:00,Garage,nan,nan,nan,nan,nan,13:05:00,PSQW,13:35:00,05:44:00,05:44:00,00:00:00
DZ1/07,007,07:52:00,08:00:00,Garage,12:15:00,Aston Q,13:20:00,13:20:00,Eden Quay,15:05:00,Hawkins Street,15:33:00,07:41:00,06:36:00,01:05:00
DZ1/08,008,08:01:00,08:09:00,Garage,11:10:00,Aston Q,12:15:00,12:15:00,Aston Q,15:10:00,B Walk,15:38:00,07:37:00,06:32:00,01:05:00
DZ1/09,009,08:02:00,08:10:00,Garage,12:35:00,Eden Quay,13:35:00,13:35:00,Hawkins Street,15:20:00,Eden Quay,15:48:00,07:46:00,06:46:00,01:00:00
DZ1/10,010,08:07:00,08:15:00,Garage,10:15:00,PSQE,11:10:00,11:10:00,Aston Q,15:30:00,Aston Q,15:58:00,07:51:00,06:56:00,00:55:00
DZ1/11,011,08:22:00,08:30:00,Garage,11:45:00,PSQE,13:10:00,13:10:00,B Walk,15:25:00,B Walk,15:53:00,07:31:00,06:06:00,01:25:00
DZ1/12,012,08:27:00,08:35:00,Garage,11:25:00,Eden Quay,12:35:00,12:35:00,PSQW,15:05:00,PSQW,15:35:00,07:08:00,05:58:00,01:10:00
DZ1/13,013,08:37:00,08:45:00,Garage,12:35:00,PSQW,13:30:00,13:30:00,PSQE,15:00:00,PSQW,15:30:00,06:53:00,05:58:00,00:55:00
