shift,duty,report,depart,location,startbreak,startbreaklocation,breakreport,finishbreak,finishbreaklocation,finish,finishlocation,signoff,spread,work,relief
PZ4/01,007401,05:02:00,05:10:00,PHIBPO,WORKOUT,nan,nan,nan,nan,10:04:00,PSQE-PQ,10:16:00,05:14:00,05:14:00,00:00:00
PZ4/02,007402,05:32:00,05:40:00,PHIBPO,10:43:00,PSQW-PE(9),11:43:00,11:43:00,PSQW-PE(9),13:16:00,PSQE-PQ,13:28:00,07:56:00,06:56:00,01:00:00
PZ4/03,007403,05:37:00,05:45:00,PHIBPO,WORKOUT,nan,nan,nan,nan,10:55:00,PSQW-PE(9),11:07:00,05:30:00,05:30:00,00:00:00
PZ4/04,007404,05:42:00,05:50:00,PHIBPO,WORKOUT,nan,nan,nan,nan,11:07:00,PSQW-PE(9),11:19:00,05:37:00,05:37:00,00:00:00
PZ4/05,007405,05:44:00,05:52:00,PHIBPO,09:05:00,PSQW-PE(9),10:05:00,10:05:00,PSQW-PE(9),13:36:00,PSQW-PE(9),13:48:00,08:04:00,07:04:00,01:00:00
PZ4/06,007406,05:47:00,05:55:00,PHIBPO,08:35:00,PSQW-PD(122),09:35:00,09:35:00,PSQW-PD(122),12:40:00,PSQW-PD(122),12:52:00,07:05:00,06:05:00,01:00:00
PZ4/07,007407,05:52:00,06:00:00,PHIBPO,09:50:00,PHIBPI,10:52:00,11:04:00,PSQE-PQ,13:07:00,PSQW-PE(9),13:19:00,07:27:00,06:25:00,01:02:00
PZ4/08,007408,05:52:00,06:00:00,PHIBPO,WORKOUT,nan,nan,nan,nan,11:15:00,PHIBPI,11:15:00,05:23:00,05:23:00,00:00:00
PZ4/09,007409,05:52:00,06:00:00,PHIBPO,WORKOUT,nan,nan,nan,nan,10:52:00,PSQE-PQ(9),11:04:00,05:12:00,05:12:00,00:00:00
PZ4/10,007410,06:00:00,06:08:00,PHIBPO,WORKOUT,nan,nan,nan,nan,11:10:00,PHIBPI,11:10:00,05:10:00,05:10:00,00:00:00
PZ4/11,007411,06:02:00,06:10:00,PHIBPO,08:45:00,PSQE-PQ(122),09:57:00,09:57:00,PSQE-PQ(9),13:33:00,PSQE-PQ(9),13:45:00,07:43:00,06:31:00,01:12:00
PZ4/12,007412,06:07:00,06:15:00,PHIBPO,09:50:00,PSQW-PE(9),10:52:00,10:52:00,PSQE-PQ(9),14:28:00,PSQE-PQ(9),14:40:00,08:33:00,07:31:00,01:02:00
PZ4/13,007413,06:12:00,06:20:00,PHIBPO,10:40:00,PSQE-PQ,11:40:00,11:40:00,PSQE-PQ(9),15:16:00,PSQE-PQ(9),15:28:00,09:16:00,08:16:00,01:00:00
PZ4/14,007414,06:12:00,06:20:00,PHIBPO,11:31:00,PSQW-PE(9),12:40:00,12:40:00,PSQW-PD(122),15:40:00,PSQW-PD(122),15:52:00,09:40:00,08:31:00,01:09:00
PZ4/15,007415,06:17:00,06:25:00,PHIBPO,11:00:00,PSQW-PD(122),12:00:00,12:00:00,PSQW-PD(122),15:00:00,PSQW-PD(122),15:12:00,08:55:00,07:55:00,01:00:00
PZ4/16,007416,06:22:00,06:30:00,PHIBPO,11:43:00,PSQW-PE(9),12:52:00,12:52:00,PSQE-PQ(9),14:55:00,PSQW-PE(9),15:07:00,08:45:00,07:36:00,01:09:00
PZ4/17,007417,06:27:00,06:35:00,PHIBPO,10:19:00,PHIBPI,11:19:00,11:31:00,PSQW-PE(9),15:07:00,PSQW-PE(9),15:19:00,08:52:00,07:52:00,01:00:00
PZ4/18,007418,06:27:00,06:35:00,PHIBPO,10:05:00,PSQW-PE(9),11:07:00,11:07:00,PSQW-PE(9),14:38:00,PSQW-PE(9),14:50:00,08:23:00,07:21:00,01:02:00
PZ4/19,007419,06:32:00,06:40:00,PHIBPO,08:05:00,PSQW-PD(122),09:05:00,09:05:00,PSQW-PE(9),14:04:00,PSQE-PQ,14:16:00,07:44:00,06:44:00,01:00:00
PZ4/20,007420,06:32:00,06:40:00,PHIBPO,09:57:00,PSQE-PQ(9),11:00:00,11:00:00,PSQW-PD(122),15:15:00,PSQE-PQ,15:27:00,08:55:00,07:52:00,01:03:00
PZ4/21,007421,06:37:00,06:45:00,PHIBPO,09:35:00,PSQW-PD(122),10:40:00,10:40:00,PSQE-PQ(122),15:20:00,PSQW-PD(122),15:32:00,08:55:00,07:50:00,01:05:00
PZ4/22,007422,06:42:00,06:50:00,PHIBPO,11:52:00,PSQE-PQ(9),13:16:00,13:16:00,PSQE-PQ(9),15:19:00,PSQW-PE(9),15:31:00,08:49:00,07:25:00,01:24:00
PZ4/23,007423,11:25:00,11:40:00,PSQE-PQ(122),16:30:00,PSQW-PD(122),17:55:00,17:55:00,PSQW-PE(9),20:55:00,PHIBPI,20:55:00,09:30:00,08:05:00,01:25:00
PZ4/24,007424,11:25:00,11:40:00,PSQW-PD(122),16:09:00,PSQE-PQ(122),17:23:00,17:23:00,PSQW-PD(122),21:15:00,PHIBPI,21:15:00,09:50:00,08:36:00,01:14:00
PZ4/25,007425,11:37:00,11:52:00,PSQE-PQ(9),15:28:00,PSQE-PQ(9),16:30:00,16:30:00,PSQW-PD(122),20:50:00,PHIBPI,20:50:00,09:13:00,08:11:00,01:02:00
PZ4/26,007426,11:40:00,11:55:00,PSQE-PQ(122),14:55:00,PSQE-PQ(122),16:00:00,16:00:00,PSQW-PD(122),20:10:00,PHIBPI,20:10:00,08:30:00,07:25:00,01:05:00
PZ4/27,007427,11:49:00,12:04:00,PSQE-PQ(9),15:40:00,PSQE-PQ(9),17:00:00,17:00:00,PSQW-PE(9),20:30:00,PHIBPI,20:30:00,08:41:00,07:21:00,01:20:00
PZ4/28,007428,12:04:00,12:19:00,PSQW-PE(9),15:55:00,PSQW-PE(9),17:05:00,17:05:00,PSQW-PE(9),21:55:00,PHIBPI,21:55:00,09:51:00,08:41:00,01:10:00
PZ4/29,007429,12:23:00,12:38:00,PSQW-PE(9),16:19:00,PSQW-PE(9),17:20:00,17:20:00,PSQW-PE(9),21:05:00,PSQW-PE(9),21:17:00,08:54:00,07:53:00,01:01:00
PZ4/30,007430,12:25:00,12:40:00,PSQE-PQ(122),17:23:00,PSQW-PD(122),18:35:00,18:35:00,PSQW-PD(122),21:15:00,PHIBPI,21:15:00,08:50:00,07:38:00,01:12:00
PZ4/31,007431,12:52:00,13:07:00,PSQW-PE(9),17:00:00,PSQW-PE(9),18:00:00,18:00:00,PSQE-PQ(9),21:20:00,PHIBPI,21:20:00,08:28:00,07:28:00,01:00:00
PZ4/32,007432,13:04:00,13:19:00,PSQW-PE(9),17:05:00,PSQW-PE(9),18:15:00,18:15:00,PSQE-PQ(9),21:30:00,PSQE-PQ(9),21:42:00,08:38:00,07:28:00,01:10:00
PZ4/33,007433,13:18:00,13:33:00,PSQE-PQ(9),17:21:00,PSQE-PQ(9),18:30:00,18:30:00,PSQE-PQ(9),21:50:00,PSQE-PQ(9),22:02:00,08:44:00,07:35:00,01:09:00
PZ4/34,007434,13:21:00,13:36:00,PSQW-PE(9),17:20:00,PSQW-PE(9),18:25:00,18:25:00,PSQW-PE(9),21:40:00,PSQW-PE(9),21:52:00,08:31:00,07:26:00,01:05:00
PZ4/35,007435,13:25:00,13:40:00,PSQE-PQ(9),15:43:00,PSQW-PE(9),17:21:00,17:21:00,PSQE-PQ(9),22:25:00,PHIBPI,22:25:00,09:00:00,07:22:00,01:38:00
PZ4/36,007436,14:32:00,14:35:00,PHIBPO,19:05:00,PSQE-PQ(122),20:20:00,20:20:00,PSQE-PQ(9),00:20:00,PHIBPI,00:20:00,09:48:00,08:33:00,01:15:00
PZ4/37,007437,14:44:00,14:47:00,PHIBPO,19:25:00,PSQE-PQ(122),20:35:00,20:35:00,PSQE-PQ(9),00:35:00,PHIBPI,00:35:00,09:51:00,08:41:00,01:10:00
PZ4/38,007438,14:47:00,14:50:00,PHIBPO,18:30:00,PSQE-PQ(9),19:30:00,19:30:00,PSQW-PD(122),00:15:00,PHIBPI,00:15:00,09:28:00,08:28:00,01:00:00
