shift,duty,report,depart,location,startbreak,startbreaklocation,breakreport,finishbreak,finishbreaklocation,finish,finishlocation,signoff,spread,work,relief
PZ4/01,007401,04:12:00,04:20:00,Garage(24),WORKOUT,nan,nan,nan,nan,09:20:00,Garage,09:20:00,05:08:00,05:08:00,00:00:00
PZ4/02,007402,04:32:00,04:40:00,Garage(24),09:40:00,Garage(24),10:45:00,10:45:00,ConHill #1619(23),12:00:00,Bstone #190,12:00:00,07:28:00,06:23:00,01:05:00
PZ4/03,007403,04:42:00,04:50:00,Garage(23),WORKOUT,nan,nan,nan,nan,09:55:00,ConHill #1619,09:55:00,05:13:00,05:13:00,00:00:00
PZ4/04,007404,04:47:00,04:55:00,Garage(24),09:05:00,ConHill #1619(24),10:15:00,10:15:00,ConHill #1619(24),12:10:00,Bstone #190,12:10:00,07:23:00,06:13:00,01:10:00
PZ4/05,007405,04:51:00,04:59:00,Garage(24),09:30:00,Bstone #190(24),10:30:00,10:30:00,Bstone #190(24),11:35:00,ConHill #1619,11:35:00,06:44:00,05:44:00,01:00:00
PZ4/06,007406,04:57:00,05:05:00,Garage(23),10:05:00,ConHill #1619(23),11:05:00,11:05:00,ConHill #1619(23),12:20:00,Bstone #190,12:20:00,07:23:00,06:23:00,01:00:00
PZ4/07,007407,05:07:00,05:15:00,Garage(24),08:05:00,ConHill #1619(24),09:05:00,09:05:00,ConHill #1619(23),12:40:00,Garage,12:40:00,07:33:00,06:33:00,01:00:00
PZ4/08,007408,05:08:00,05:16:00,Garage(24),08:20:00,Bstone #190(24),09:30:00,09:30:00,Bstone #190(24),12:30:00,Bstone #190,12:30:00,07:22:00,06:12:00,01:10:00
PZ4/09,007409,05:17:00,05:25:00,Garage(23),09:00:00,Bstone #190(23),10:10:00,10:10:00,Bstone #190(24),13:10:00,Bstone #190,13:10:00,07:53:00,06:43:00,01:10:00
PZ4/10,007410,05:17:00,05:25:00,Garage(23),08:55:00,ConHill #1619(23),09:55:00,09:55:00,ConHill #1619(24),12:50:00,Garage,12:50:00,07:33:00,06:33:00,01:00:00
PZ4/11,007411,05:22:00,05:30:00,Garage(24),WORKOUT,nan,nan,nan,nan,10:50:00,Garage,10:50:00,05:28:00,05:28:00,00:00:00
PZ4/12,007412,05:27:00,05:35:00,Garage(24),08:40:00,Bstone #190(24),09:42:00,09:50:00,Garage(24),12:50:00,Bstone #190,12:50:00,07:23:00,06:21:00,01:02:00
PZ4/13,007413,05:37:00,05:45:00,Garage(23),10:10:00,Bstone #190(23),11:17:00,11:20:00,Garage(23),12:40:00,Bstone #190,12:40:00,07:03:00,05:56:00,01:07:00
PZ4/14,007414,05:42:00,05:50:00,Garage(24),WORKOUT,nan,nan,nan,nan,11:05:00,ConHill #1619,11:05:00,05:23:00,05:23:00,00:00:00
