shift,duty,report,depart,location,startbreak,startbreaklocation,breakreport,finishbreak,finishbreaklocation,finish,finishlocation,signoff,spread,work,relief
PZ1/01,007001,04:20:00,04:28:00,GARAGE,08:10:00,39A-ASTONQ,09:05:00,09:05:00,39-ASTONQ,12:05:00,39-BWALK,12:25:00,08:05:00,07:10:00,00:55:00
PZ1/02,007002,04:22:00,04:30:00,GARAGE,09:00:00,39A-BWALK,10:00:00,10:00:00,39A-BWALK,11:28:00,39A-ASTONQ,11:48:00,07:26:00,06:26:00,01:00:00
PZ1/03,007003,04:46:00,04:54:00,GARAGE,09:49:00,C1/C2-ASTONQ,10:45:00,10:45:00,C1/C2-BWALK,12:07:00,C1/C2-ASTONQ,12:27:00,07:41:00,06:45:00,00:56:00
PZ1/04,007004,04:52:00,05:00:00,GARAGE,09:30:00,39A-BWALK,10:41:00,10:41:00,39A-BWALK,12:04:00,39A-ASTONQ,12:24:00,07:32:00,06:21:00,01:11:00
PZ1/05,007005,04:57:00,05:05:00,GARAGE,09:05:00,39A-ASTONQ,10:04:00,10:04:00,C1/C2-ASTONQ,12:01:00,C1/C2-BWALK,12:21:00,07:24:00,06:25:00,00:59:00
PZ1/06,007006,04:59:00,05:07:00,GARAGE,Workout,nan,nan,nan,nan,10:18:00,C1/C2-ASTONQ,10:38:00,05:39:00,05:39:00,00:00:00
PZ1/07,007007,05:08:00,05:16:00,GARAGE,Workout,nan,nan,nan,nan,10:45:00,C1/C2-BWALK,11:05:00,05:57:00,05:57:00,00:00:00
PZ1/08,007008,05:22:00,05:30:00,GARAGE,08:25:00,39-BWALK,09:35:00,09:35:00,39-ASTONQ,12:35:00,39-BWALK,12:55:00,07:33:00,06:23:00,01:10:00
PZ1/09,007009,05:22:00,05:30:00,GARAGE,Workout,nan,nan,nan,nan,10:00:00,39A-BWALK,10:20:00,04:58:00,04:58:00,00:00:00
PZ1/10,007010,05:31:00,05:39:00,GARAGE,08:01:00,C1/C2-ASTONQ,09:05:00,09:05:00,39A-ASTONQ,12:28:00,39A-ASTONQ,12:48:00,07:17:00,06:13:00,01:04:00
PZ1/11,007011,05:33:00,05:41:00,GARAGE,09:19:00,C1/C2-ASTONQ,10:18:00,10:18:00,C1/C2-ASTONQ,12:25:00,C1/C2-BWALK,12:45:00,07:12:00,06:13:00,00:59:00
PZ1/12,007012,05:37:00,05:45:00,GARAGE,08:05:00,39-ASTONQ,09:30:00,09:30:00,39A-BWALK,13:08:00,39A-BWALK,13:28:00,07:51:00,06:26:00,01:25:00
PZ1/13,007013,05:52:00,06:00:00,GARAGE,Workout,nan,nan,nan,nan,10:41:00,39A-BWALK,11:01:00,05:09:00,05:09:00,00:00:00
PZ1/14,007014,06:07:00,06:15:00,GARAGE,10:53:00,39A-BWALK,12:07:00,12:07:00,C1/C2-ASTONQ,15:36:00,C1/C2-ASTONQ,15:56:00,09:49:00,08:35:00,01:14:00
PZ1/15,007015,06:09:00,06:17:00,GARAGE,09:05:00,39-ASTONQ,10:10:00,10:10:00,39-ASTONQ,14:25:00,39-ASTONQ,14:45:00,08:36:00,07:31:00,01:05:00
PZ1/16,007016,06:12:00,06:20:00,GARAGE,10:40:00,39-ASTONQ,11:40:00,11:40:00,39A-ASTONQ,15:40:00,39A-ASTONQ,16:00:00,09:48:00,08:48:00,01:00:00
PZ1/17,007017,06:17:00,06:25:00,GARAGE,10:04:00,C1/C2-ASTONQ,11:11:00,11:11:00,39A-ASTONQ,15:21:00,39A-ASTONQ,15:41:00,09:24:00,08:17:00,01:07:00
PZ1/18,007018,06:27:00,06:35:00,GARAGE,11:11:00,39A-ASTONQ,12:25:00,12:25:00,C1/C2-BWALK,16:05:00,C1/C2-BWALK,16:25:00,09:58:00,08:44:00,01:14:00
