shift,duty,report,depart,location,startbreak,startbreaklocation,breakreport,finishbreak,finishbreaklocation,finish,finishlocation,signoff,spread,work,relief
PZ4/01,007401,07:27:00,07:35:00,PHIBPO,WORKOUT,nan,nan,nan,nan,13:00:00,PSQE-PQ(122),13:12:00,05:45:00,05:45:00,00:00:00
PZ4/02,007402,07:32:00,07:40:00,PHIBPO,12:25:00,PSQW-PD(122),13:25:00,13:25:00,PSQE-PQ(9),15:25:00,PSQW-PE(9),15:37:00,08:05:00,07:05:00,01:00:00
PZ4/03,007403,07:57:00,08:05:00,PHIBPO,10:30:00,PSQE-PQ(122),11:55:00,12:15:00,PHIBPO,15:40:00,PSQW-PE(9),15:52:00,07:55:00,06:30:00,01:25:00
PZ4/04,007404,08:02:00,08:10:00,PHIBPO,10:40:00,PSQW-PD(122),12:05:00,12:05:00,PSQW-PD(122),15:10:00,PSQW-PD(122),15:22:00,07:20:00,05:55:00,01:25:00
PZ4/05,007405,08:22:00,08:30:00,PHIBPO,11:10:00,PSQW-PE(9),12:25:00,12:25:00,PSQW-PD(122),15:30:00,PSQW-PD(122),15:42:00,07:20:00,06:05:00,01:15:00
PZ4/06,007406,08:32:00,08:40:00,PHIBPO,WORKOUT,nan,nan,nan,nan,14:10:00,PSQW-PD(122),14:22:00,05:50:00,05:50:00,00:00:00
PZ4/07,007407,08:42:00,08:50:00,PHIBPO,11:35:00,PSQE-PQ(9),12:55:00,12:55:00,PSQE-PQ(9),14:55:00,PSQW-PE(9),15:07:00,06:25:00,05:05:00,01:20:00
PZ4/08,007408,08:47:00,08:55:00,PHIBPO,WORKOUT,nan,nan,nan,nan,14:05:00,PSQE-PQ(122),14:17:00,05:30:00,05:30:00,00:00:00
PZ4/09,007409,08:47:00,08:55:00,PHIBPO,WORKOUT,nan,nan,nan,nan,12:55:00,PSQE-PQ(9),13:07:00,04:20:00,04:20:00,00:00:00
PZ4/10,007410,09:07:00,09:15:00,PHIBPO,WORKOUT,nan,nan,nan,nan,14:00:00,PSQW-PE(9),14:12:00,05:05:00,05:05:00,00:00:00
PZ4/11,007411,09:12:00,09:20:00,PHIBPO,WORKOUT,nan,nan,nan,nan,13:25:00,PSQE-PQ(9),13:37:00,04:25:00,04:25:00,00:00:00
PZ4/12,007412,11:20:00,11:35:00,PSQE-PQ(9),16:35:00,PSQW-PE(9),17:35:00,17:35:00,PSQW-PE(9),20:35:00,PSQW-PE(9),20:47:00,09:27:00,08:27:00,01:00:00
PZ4/13,007413,11:32:00,11:40:00,PHIBPO,16:15:00,PSQW-PD(122),17:20:00,17:20:00,PSQE-PQ(9),20:25:00,PSQE-PQ(9),20:37:00,09:05:00,08:00:00,01:05:00
PZ4/14,007414,11:37:00,11:45:00,PHIBPO,15:45:00,PSQE-PQ(122),16:50:00,16:50:00,PSQW-PE(9),21:20:00,PSQE-PQ(9),21:32:00,09:55:00,08:50:00,01:05:00
PZ4/15,007415,11:47:00,11:55:00,PHIBPO,16:35:00,PSQE-PQ(9),17:40:00,17:40:00,PSQE-PQ(122),20:30:00,PSQE-PQ(122),20:42:00,08:55:00,07:50:00,01:05:00
PZ4/16,007416,11:52:00,12:00:00,PHIBPO,17:05:00,PSQW-PE(9),18:20:00,18:20:00,PSQE-PQ(122),21:05:00,PHIBPI,21:05:00,09:13:00,07:58:00,01:15:00
PZ4/17,007417,12:10:00,12:25:00,PSQW-PE(9),17:20:00,PSQE-PQ(9),18:25:00,18:25:00,PSQW-PD(122),21:55:00,PHIBPI,21:55:00,09:45:00,08:40:00,01:05:00
PZ4/18,007418,12:32:00,12:40:00,PHIBPO,15:50:00,PSQE-PQ(9),17:05:00,17:05:00,PSQW-PE(9),21:40:00,PSQE-PQ(9),21:52:00,09:20:00,08:05:00,01:15:00
PZ4/19,007419,12:40:00,12:55:00,PSQW-PE(9),17:25:00,PHIBPI,19:23:00,19:35:00,PSQW-PE(9),21:00:00,PSQE-PQ(9),21:12:00,08:32:00,06:34:00,01:58:00
PZ4/20,007420,12:45:00,13:00:00,PSQE-PQ(122),14:50:00,PSQW-PD(122),16:05:00,16:05:00,PSQE-PQ(9),21:15:00,PSQW-PE(9),21:27:00,08:42:00,07:27:00,01:15:00
PZ4/21,007421,13:45:00,14:00:00,PSQW-PE(9),17:20:00,PSQW-PE(9),19:00:00,19:00:00,PSQE-PQ(122),22:30:00,PHIBPI,22:30:00,08:45:00,07:05:00,01:40:00
PZ4/22,007422,14:30:00,14:45:00,PSQE-PQ(122),17:40:00,PSQE-PQ(122),19:05:00,19:05:00,PSQE-PQ(9),23:55:00,PHIBPI,23:55:00,09:25:00,08:00:00,01:25:00
PZ4/23,007423,14:35:00,14:50:00,PSQW-PD(122),19:00:00,PSQE-PQ(122),20:00:00,20:00:00,PSQE-PQ(122),00:20:00,PHIBPI,00:20:00,09:45:00,08:45:00,01:00:00
PZ4/24,007424,14:40:00,14:55:00,PSQW-PE(9),19:45:00,PSQE-PQ(9),21:20:00,21:20:00,PSQE-PQ(9),00:10:00,PHIBPI,00:10:00,09:30:00,07:55:00,01:35:00
PZ4/25,007425,14:50:00,15:05:00,PSQE-PQ(122),19:40:00,PSQW-PD(122),20:40:00,20:40:00,PSQE-PQ(9),23:50:00,PHIBPI,23:50:00,09:00:00,08:00:00,01:00:00
PZ4/26,007426,14:55:00,15:10:00,PSQW-PD(122),19:20:00,PSQE-PQ(122),20:25:00,20:25:00,PSQE-PQ(9),00:45:00,PHIBPI,00:45:00,09:50:00,08:45:00,01:05:00
PZ4/27,007427,15:10:00,15:25:00,PSQW-PE(9),16:50:00,PSQE-PQ(9),19:20:00,19:20:00,PSQE-PQ(122),00:10:00,PHIBPI,00:10:00,09:00:00,06:30:00,02:30:00
PZ4/28,007428,15:15:00,15:30:00,PSQW-PD(122),18:25:00,PSQW-PD(122),19:45:00,19:45:00,PSQE-PQ(9),00:10:00,PHIBPI,00:10:00,08:55:00,07:35:00,01:20:00
PZ4/29,007429,15:20:00,15:35:00,PSQE-PQ(9),17:35:00,PSQW-PE(9),19:40:00,19:40:00,PSQW-PD(122),00:20:00,PHIBPI,00:20:00,09:00:00,06:55:00,02:05:00
PZ4/30,007430,15:25:00,15:40:00,PSQW-PE(9),18:40:00,PHIBPI,20:18:00,20:30:00,PSQE-PQ(122),00:10:00,PHIBPI,00:10:00,08:45:00,07:07:00,01:38:00
PZ4/31,007431,15:35:00,15:50:00,PSQE-PQ(9),19:05:00,PSQE-PQ(9),20:05:00,20:05:00,PSQE-PQ(9),00:30:00,PHIBPI,00:30:00,08:55:00,07:55:00,01:00:00
PZ4/32,007432,16:05:00,16:20:00,PSQW-PE(9),20:40:00,PSQE-PQ(9),21:40:00,21:40:00,PSQE-PQ(9),00:25:00,PHIBPI,00:25:00,08:20:00,07:20:00,01:00:00
PZ4/33,007433,16:20:00,16:35:00,PSQE-PQ(9),20:05:00,PSQE-PQ(9),21:15:00,21:15:00,PSQW-PE(9),01:10:00,PHIBPI,01:10:00,08:50:00,07:40:00,01:10:00
PZ4/34,007434,16:20:00,16:35:00,PSQW-PE(9),19:35:00,PSQW-PE(9),20:35:00,20:35:00,PSQW-PE(9),00:50:00,PHIBPI,00:50:00,08:30:00,07:30:00,01:00:00
PZ4/35,007435,16:45:00,17:00:00,PSQE-PQ(122),20:00:00,PSQE-PQ(122),21:00:00,21:00:00,PSQE-PQ(9),01:10:00,PHIBPI,01:10:00,08:25:00,07:25:00,01:00:00
PZ4/1X,007451,09:37:00,09:45:00,PHIBPO,12:25:00,PSQW-PE(9),13:25:00,13:40:00,PHIBPO,16:50:00,PSQW-PE(9),17:02:00,07:25:00,06:25:00,01:00:00
PZ4/2X,007452,10:02:00,10:10:00,PHIBPO,13:10:00,PSQW-PE(9),14:10:00,14:10:00,PSQW-PD(122),18:20:00,PSQE-PQ(122),18:32:00,08:30:00,07:30:00,01:00:00
PZ4/3X,007453,10:15:00,10:30:00,PSQE-PQ(122),12:05:00,PSQW-PD(122),13:10:00,13:10:00,PSQW-PE(9),16:20:00,PSQW-PE(9),16:32:00,06:17:00,05:12:00,01:05:00
PZ4/4X,007454,10:25:00,10:40:00,PSQW-PD(122),14:45:00,PSQE-PQ(122),15:45:00,15:45:00,PSQE-PQ(122),20:05:00,PHIBPI,20:05:00,09:40:00,08:40:00,01:00:00
