shift,duty,report,depart,location,startbreak,startbreaklocation,breakreport,finishbreak,finishbreaklocation,finish,finishlocation,signoff,spread,work,relief,routes
307/01,007509,06:47:00,06:55:00,Garage,10:35:00,Garage,14:22:00,14:25:00,Garage,18:12:00,Garage,18:12:00,11:25:00,07:38:00,03:47:00,X26/C1
307/02,007510,06:25:00,06:33:00,Garage,11:35:00,Garage,16:42:00,16:45:00,Garage,19:10:00,Garage,18:12:00,12:45:00,07:38:00,05:07:00,X26/C2
307/03,007511,06:28:00,06:36:00,Garage,11:05:00,Garage,15:27:00,15:30:00,Garage,19:10:00,Garage,18:28:00,12:45:00,07:38:00,04:22:00,X28/C1
307/04,007532,06:18:00,06:26:00,Garage,10:15:00,Garage,15:27:00,15:30:00,Garage,18:28:00,Garage,18:28:00,12:00:00,07:38:00,04:22:00,X25
307/05,007534,06:22:00,06:30:00,Garage,09:40:00,Garage,14:57:00,15:00:00,Garage,19:17:00,Garage,19:08:00,12:55:00,07:38:00,05:17:00,X32
807/500,007502,20:22:00,20:30:00,Garage,24:00:00,Garage,01:02:00,01:05:00,Garage,28:45:00,Garage,28:45:00,08:23:00,07:21:00,01:02:00,39A N-Service
807/12,007512,06:47:00,06:55:00,Garage,09:55:00,Garage,16:17:00,16:20:00,Garage,19:30:00,Garage,19:30:00,12:43:00,06:21:00,06:22:00,37/38
807/13,007513,06:22:00,06:30:00,Garage,09:25:00,Garage,14:27:00,14:30:00,Garage,18:30:00,Garage,18:30:00,12:08:00,07:06:00,06:22:00,37/39A
807/14,007514,06:40:00,06:48:00,Garage,09:58:00,Garage,16:37:00,16:40:00,Garage,19:40:00,Garage,19:40:00,13:00:00,06:21:00,06:39:00,C2/37
807/15,007515,05:27:00,05:35:00,Garage,09:02:00,Garage,14:07:00,14:10:00,Garage,18:10:00,Garage,18:10:00,12:43:00,07:38:00,05:05:00,39A
807/16,007516,06:32:00,06:40:00,Garage,09:45:00,Garage,16:07:00,16:10:00,Garage,19:20:00,Garage,19:20:00,12:48:00,06:26:00,06:22:00,C1
807/17,007517,06:35:00,06:43:00,Garage,10:03:00,Garage,13:32:00,13:35:00,Garage,17:00:00,Garage,17:00:00,10:25:00,06:56:00,03:29:00,C1
807/18,007518,06:20:00,06:28:00,Garage,09:43:00,Garage,15:03:00,15:06:00,Garage,18:20:00,Garage,18:20:00,12:00:00,06:40:00,05:20:00,C1
807/19,007519,16:42:00,16:50:00,Garage,21:37:00,Garage,22:37:00,22:40:00,Garage,24:27:00,Garage,24:27:00,07:45:00,06:45:00,01:00:00,C1/C2
807/20,007520,06:57:00,07:05:00,Garage,10:45:00,Garage,16:22:00,16:25:00,Garage,19:55:00,Garage,19:55:00,12:58:00,07:31:00,05:37:00,X28
807/21,007521,06:32:00,06:40:00,Garage,10:02:00,Garage,14:22:00,14:25:00,Garage,18:30:00,Garage,18:30:00,11:58:00,07:38:00,04:20:00,39A
807/31,007531,06:40:00,06:48:00,Garage,09:50:00,Garage,15:02:00,15:05:00,Garage,19:30:00,Garage,19:30:00,12:50:00,07:38:00,05:12:00,L58/L59/C3
