Duty,Reports,Departs,Location,Route,From,To,Arrival,Departure,Notes
301,04:52,05:00,Garage,SPL,,,,,
301,,,Riverforest,L58,Riverforest,Hazelhatch,,05:30:00,
301,,,Hazelhatch,L58,Hazelhatch,Riverforest,,06:00:00,
301,,,Riverforest,L58,Riverforest,Hazelhatch,,06:30:00,
301,,,Hazelhatch,L59,Hazelhatch,Riverforest,,07:09:00,
301,,,Riverforest,L59,Riverforest,Hazelhatch,,07:45:00,
301,,,Hazelhatch,L59,Hazelhatch,Riverforest,,08:27:00,
301,,,Riverforest,SPL,,,09:12:00,,
301,,,Garage,Finish,,,09:52:00,,Duty 301 Finished Duty
302,05:07,05:15,Garage,SPL,,,,,
302,,,Riverforest,L59,Riverforest,Hazelhatch,,05:45:00,
302,,,Hazelhatch,L59,Hazelhatch,Riverforest,,06:14:00,
302,,,Riverforest,L59,Riverforest,Hazelhatch,,06:45:00,
302,,,Hazelhatch,L59,Hazelhatch,Riverforest,,07:31:00,
302,,,Riverforest,L59,Riverforest,Hazelhatch,,08:15:00,
302,,,Hazelhatch,SPL,,,09:00:00,,
302,,,Garage,Break,,,09:55:00,,
302,10:57,11:00,Garage,SPL,,,,,Takes up Bus 1
302,,,Hazelhatch,L59,Hazelhatch,Riverforest,,11:40:00,
302,,,Riverforest,L59,Riverforest,Hazelhatch,,12:15:00,
302,,,Hazelhatch,SPL,,,12:49:00,,
302,,,Garage,Finish,,,13:29:00,,Duty 302 Finished Duty
303,05:32,05:40,Garage,SPL,,,,,
303,,,Riverforest,L59,Riverforest,Hazelhatch,,06:15:00,
303,,,Hazelhatch,L58,Hazelhatch,Riverforest,,07:00:00,
303,,,Riverforest,L58,Riverforest,Hazelhatch,,07:30:00,
303,,,Hazelhatch,L59,Hazelhatch,Riverforest,,07:57:00,
303,,,Riverforest,SPL,,,08:44:00,,
303,,,Garage,Break,,,09:24:00,,
303,10:24,10:27,Garage,SPL,,,,,Takes up Bus 3
303,,,Hazelhatch,L59,Hazelhatch,Riverforest,,11:07:00,
303,,,Riverforest,L59,Riverforest,Hazelhatch,,11:45:00,
303,,,Hazelhatch,SPL,,,12:18:00,,
303,,,Garage,Finish,,,12:58:00,,Duty 303 Finished Duty
304,06:00,06:08,Garage,SPL,,,,,
304,,,Hazelhatch,L59,Hazelhatch,Riverforest,,06:42:00,
304,,,Riverforest,L59,Riverforest,Hazelhatch,,07:15:00,
304,,,Hazelhatch,L58,Hazelhatch,Riverforest,,08:00:00,
304,,,Riverforest,L58,Riverforest,Hazelhatch,,08:30:00,
304,,,Hazelhatch,SPL,,,09:05:00,,
304,,,Garage,Break,,,10:05:00,,
304,11:17,11:20,Garage,SPL,,,,,Takes up Bus 2
304,,,Hazelhatch,L58,Hazelhatch,Riverforest,,12:00:00,
304,,,Riverforest,L58,Riverforest,Hazelhatch,,12:30:00,
304,,,Hazelhatch,L59,Hazelhatch,Riverforest,,13:07:00,
304,,,Riverforest,L59,Riverforest,Hazelhatch,,13:45:00,
304,,,Hazelhatch,SPL,,,14:18:00,,
304,,,Garage,Finish,,,14:58:00,,Duty 304 Finished Duty
305,11:55,11:58,Garage,SPL,,,,,
305,,,Hazelhatch,L59,Hazelhatch,Riverforest,,12:38:00,
305,,,Riverforest,L59,Riverforest,Hazelhatch,,13:15:00,
305,,,Hazelhatch,L58,Hazelhatch,Riverforest,,14:00:00,
305,,,Riverforest,L58,Riverforest,Hazelhatch,,14:30:00,
305,,,Hazelhatch,L59,Hazelhatch,Riverforest,,15:01:00,
305,,,Riverforest,L59,Riverforest,Hazelhatch,,15:45:00,
305,,,Hazelhatch,SPL,,,16:28:00,,
305,,,Garage,Break,,,17:08:00,,
305,18:17,18:20,Garage,SPL,,,,,Takes up Bus 1
305,,,Hazelhatch,L58,Hazelhatch,Riverforest,,19:00:00,
305,,,Riverforest,L58,Riverforest,Hazelhatch,,19:30:00,
305,,,Hazelhatch,L59,Hazelhatch,Riverforest,,20:09:00,
305,,,Riverforest,L59,Riverforest,Hazelhatch,,20:45:00,
305,,,Hazelhatch,SPL,,,21:14:00,,
305,,,Garage,Finish,,,21:52:00,,Duty 305 Finished Duty
306,12:07,12:10,Garage,SPL,,,,,
306,,,Riverforest,L59,Riverforest,Hazelhatch,,12:45:00,
306,,,Hazelhatch,L59,Hazelhatch,Riverforest,,13:36:00,
306,,,Riverforest,L59,Riverforest,Hazelhatch,,14:15:00,
306,,,Hazelhatch,L58,Hazelhatch,Riverforest,,15:00:00,
306,,,Riverforest,L58,Riverforest,Hazelhatch,,15:30:00,
306,,,Hazelhatch,SPL,,,16:00:00,,
306,,,Garage,Break,,,16:40:00,,
306,17:42,17:45,Garage,SPL,,,,,Takes up Bus 4
306,,,Riverforest,L58,Riverforest,Hazelhatch,,18:30:00,
306,,,Hazelhatch,L59,Hazelhatch,Riverforest,,19:06:00,
306,,,Riverforest,L59,Riverforest,Hazelhatch,,19:45:00,
306,,,Hazelhatch,SPL,,,20:16:00,,
306,,,Garage,Finish,,,20:54:00,,Duty 306 Finished Duty
307,12:17,12:20,Garage,SPL,,,,,
307,,,Hazelhatch,L58,Hazelhatch,Riverforest,,13:00:00,
307,,,Riverforest,L58,Riverforest,Hazelhatch,,13:30:00,
307,,,Hazelhatch,L59,Hazelhatch,Riverforest,,14:04:00,
307,,,Riverforest,L59,Riverforest,Hazelhatch,,14:45:00,
307,,,Hazelhatch,SPL,,,15:24:00,,
307,,,Garage,Break,,,16:04:00,,
307,17:04,17:07,Garage,SPL,,,,,Takes up Bus 9
307,,,Riverforest,L59,Riverforest,Hazelhatch,,17:45:00,
307,,,Hazelhatch,L59,Hazelhatch,Riverforest,,18:33:00,
307,,,Riverforest,L59,Riverforest,Hazelhatch,,19:15:00,
307,,,Hazelhatch,L58,Hazelhatch,Riverforest,,20:00:00,
307,,,Riverforest,L58,Riverforest,Hazelhatch,,20:30:00,
307,,,Hazelhatch,SPL,,,20:56:00,,
307,,,Garage,Finish,,,21:34:00,,Duty 307 Finished Duty
308,15:11,15:14,Garage,SPL,,,,,
308,,,Hazelhatch,L58,Hazelhatch,Riverforest,,16:00:00,
308,,,Riverforest,L58,Riverforest,Hazelhatch,,16:30:00,
308,,,Hazelhatch,L59,Hazelhatch,Riverforest,,17:28:00,
308,,,Riverforest,L59,Riverforest,Hazelhatch,,18:15:00,
308,,,Hazelhatch,SPL,,,18:54:00,,
308,,,Garage,Break,,,19:34:00,,
308,20:34,20:37,Garage,SPL,,,,,Takes up Bus 5
308,,,Hazelhatch,L59,Hazelhatch,Riverforest,,21:12:00,
308,,,Riverforest,L59,Riverforest,Hazelhatch,,21:45:00,
308,,,Hazelhatch,L59,Hazelhatch,Riverforest,,22:14:00,
308,,,Riverforest,L59,Riverforest,Hazelhatch,,22:45:00,
308,,,Hazelhatch,L59,Hazelhatch,Riverforest,,23:14:00,
308,,,Riverforest,SPL,,,23:41:00,,
308,,,Garage,Finish,,,00:11:00,,Duty 308 Finished Duty
309,15:37,15:40,Garage,SPL,,,,,
309,,,Hazelhatch,L59,Hazelhatch,Riverforest,,16:30:00,
309,,,Riverforest,SPL,,,17:15:00,,
309,,,Garage,Break,,,17:55:00,,
309,18:56,18:59,Garage,SPL,,,,,Takes up Bus 8
309,,,Hazelhatch,L59,Hazelhatch,Riverforest,,19:37:00,
309,,,Riverforest,L59,Riverforest,Hazelhatch,,20:15:00,
309,,,Hazelhatch,L58,Hazelhatch,Riverforest,,21:00:00,
309,,,Riverforest,L58,Riverforest,Hazelhatch,,21:30:00,
309,,,Hazelhatch,L58,Hazelhatch,Riverforest,,22:00:00,
309,,,Riverforest,L58,Riverforest,Hazelhatch,,22:30:00,
309,,,Hazelhatch,L58,Hazelhatch,Riverforest,,23:00:00,
309,,,Riverforest,L58,Riverforest,Hazelhatch,,23:30:00,
309,,,Hazelhatch,SPL,,,23:50:00,,
309,,,Garage,Finish,,,00:25:00,,Duty 309 Finished Duty
310,16:07,16:10,Garage,SPL,,,,,
310,,,Hazelhatch,L58,Hazelhatch,Riverforest,,17:00:00,
310,,,Riverforest,L58,Riverforest,Hazelhatch,,17:30:00,
310,,,Hazelhatch,SPL,,,18:10:00,,
310,,,Garage,Break,,,18:55:00,,
310,19:59,20:02,Garage,SPL,,,,,Takes up Bus 7
310,,,Hazelhatch,L59,Hazelhatch,Riverforest,,20:40:00,
310,,,Riverforest,L59,Riverforest,Hazelhatch,,21:15:00,
310,,,Hazelhatch,L59,Hazelhatch,Riverforest,,21:43:00,
310,,,Riverforest,L59,Riverforest,Hazelhatch,,22:15:00,
310,,,Hazelhatch,L59,Hazelhatch,Riverforest,,22:44:00,
310,,,Riverforest,L59,Riverforest,Hazelhatch,,23:15:00,
310,,,Hazelhatch,L58,Hazelhatch,Riverforest,,23:40:00,
310,,,Riverforest,SPL,,,00:00:00,,
310,,,Garage,Finish,,,00:30:00,,Duty 310 Finished Duty
351,07:57,08:05,Garage,SPL,,,,,
351,,,Riverforest,L59,Riverforest,Hazelhatch,,08:45:00,
351,,,Hazelhatch,L59,Hazelhatch,Riverforest,,09:27:00,
351,,,Riverforest,L59,Riverforest,Hazelhatch,,10:15:00,
351,,,Hazelhatch,SPL,,,11:00:00,,
351,,,Garage,Break,,,11:40:00,,
351,13:49,13:52,Garage,SPL,,,,,Takes up Bus 6
351,,,Hazelhatch,L59,Hazelhatch,Riverforest,,14:32:00,
351,,,Riverforest,L59,Riverforest,Hazelhatch,,15:15:00,
351,,,Hazelhatch,L59,Hazelhatch,Riverforest,,16:00:00,
351,,,Riverforest,L59,Riverforest,Hazelhatch,,16:45:00,
351,,,Hazelhatch,SPL,,,17:30:00,,
351,,,Garage,Finish,,,18:13:00,,Duty 351 Finished Duty
352,08:03,08:11,Garage,SPL,,,,,
352,,,Hazelhatch,L59,Hazelhatch,Riverforest,,08:56:00,
352,,,Riverforest,L59,Riverforest,Hazelhatch,,09:45:00,
352,,,Hazelhatch,L59,Hazelhatch,Riverforest,,10:38:00,
352,,,Riverforest,L59,Riverforest,Hazelhatch,,11:15:00,
352,,,Hazelhatch,SPL,,,11:50:00,,
352,,,Garage,Break,,,12:30:00,,
352,16:27,16:30,Garage,SPL,,,,,Takes up Bus 7
352,,,Riverforest,L59,Riverforest,Hazelhatch,,17:15:00,
352,,,Hazelhatch,L58,Hazelhatch,Riverforest,,18:00:00,
352,,,Riverforest,SPL,,,18:30:00,,
352,,,Garage,Finish,,,19:05:00,,Duty 352 Finished Duty
353,08:07,08:15,Garage,SPL,,,,,
353,,,Hazelhatch,L58,Hazelhatch,Riverforest,,09:00:00,
353,,,Riverforest,L58,Riverforest,Hazelhatch,,09:30:00,
353,,,Hazelhatch,L59,Hazelhatch,Riverforest,,10:09:00,
353,,,Riverforest,L59,Riverforest,Hazelhatch,,10:45:00,
353,,,Hazelhatch,SPL,,,11:17:00,,
353,,,Garage,Break,,,11:57:00,,
353,14:42,14:45,Garage,SPL,,,,,Takes up Bus 8
353,,,Hazelhatch,L59,Hazelhatch,Riverforest,,15:32:00,
353,,,Riverforest,L59,Riverforest,Hazelhatch,,16:15:00,
353,,,Hazelhatch,L59,Hazelhatch,Riverforest,,17:05:00,
353,,,Riverforest,SPL,,,17:43:00,,
353,,,Garage,Finish,,,18:21:00,,Duty 353 Finished Duty
354,08:27,08:35,Garage,SPL,,,,,
354,,,Riverforest,L59,Riverforest,Hazelhatch,,09:15:00,
354,,,Hazelhatch,L58,Hazelhatch,Riverforest,,10:00:00,
354,,,Riverforest,L58,Riverforest,Hazelhatch,,10:30:00,
354,,,Hazelhatch,L58,Hazelhatch,Riverforest,,11:00:00,
354,,,Riverforest,L58,Riverforest,Hazelhatch,,11:30:00,
354,,,Hazelhatch,L59,Hazelhatch,Riverforest,,12:09:00,
354,,,Riverforest,SPL,,,12:42:00,,
354,,,Garage,Break,,,13:17:00,,
354,17:03,17:06,Garage,SPL,,,,,Takes up Bus 5
354,,,Hazelhatch,L59,Hazelhatch,Riverforest,,17:59:00,
354,,,Riverforest,L59,Riverforest,Hazelhatch,,18:45:00,
354,,,Hazelhatch,SPL,,,19:22:00,,
354,,,Garage,Finish,,,20:00:00,,Duty 354 Finished Duty
