Duty,Reports,Departs,Location,Route,From,To,Arrival,Departure,Notes
301,05:12:00,05:20:00,Garage,SPL,,,,,
301,,,Riverforest,L58,Riverforest,Hazelhatch,,06:00:00,
301,,,Hazelhatch,L59,Hazelhatch,Riverforest,06:00:00,06:29:00,
301,,,Riverforest,L58,Riverforest,Hazelhatch,06:30:00,07:00:00,
301,,,Hazelhatch,L59,Hazelhatch,Riverforest,07:00:00,07:32:00,
301,,,Riverforest,L58,Riverforest,Hazelhatch,07:30:00,08:00:00,
301,,,Hazelhatch,L59,Hazelhatch,Riverforest,08:00:00,08:31:00,
301,,,Riverforest,L58,Riverforest,Hazelhatch,08:25:00,09:00:00,
301,,,Garage,Finish,,,09:00:00,,
301,10:25:00,10:28:00,Garage,SPL,,,,,
301,,,Hazelhatch,L59,Hazelhatch,Riverforest,,11:08:00,
301,,,Riverforest,L59,Riverforest,Hazelhatch,11:45:00,12:30:00,
301,,,Hazelhatch,L58,Hazelhatch,Riverforest,12:30:00,12:55:00,
301,,,Garage,Finish,,,13:30:00,,Duty 301 Finished Duty
302,05:22:00,05:30:00,Garage,SPL,,,,,
302,,,Riverforest,L58,Riverforest,Hazelhatch,,06:00:00,
302,,,Hazelhatch,L59,Hazelhatch,Riverforest,06:29:00,07:00:00,
302,,,Riverforest,L58,Riverforest,Hazelhatch,07:00:00,07:32:00,
302,,,Hazelhatch,L59,Hazelhatch,Riverforest,07:32:00,08:00:00,
302,,,Riverforest,L58,Riverforest,Hazelhatch,08:00:00,08:31:00,
302,,,Hazelhatch,L59,Hazelhatch,Riverforest,08:31:00,09:00:00,
302,,,Riverforest,L58,Riverforest,Hazelhatch,09:00:00,09:32:00,
302,,,Hazelhatch,L59,Hazelhatch,Riverforest,09:32:00,10:07:00,
302,,,Garage,Finish,,,10:42:00,,Duty 302 Finished Duty
303,07:47:00,07:55:00,Garage,SPL,,,,,
303,,,Riverforest,L59,Riverforest,Hazelhatch,,08:30:00,
303,,,Hazelhatch,L58,Hazelhatch,Riverforest,09:00:00,10:15:00,
303,,,Riverforest,L59,Riverforest,Hazelhatch,10:15:00,10:45:00,
303,,,Garage,Finish,,,11:20:00,,
303,12:20:00,12:23:00,Garage,SPL,,,,,
303,,,Hazelhatch,L59,Hazelhatch,Riverforest,,13:03:00,
303,,,Riverforest,L59,Riverforest,Hazelhatch,13:45:00,14:30:00,
303,,,Hazelhatch,L58,Hazelhatch,Riverforest,14:30:00,15:00:00,
303,,,Riverforest,L58,Riverforest,Hazelhatch,15:00:00,15:25:00,
303,,,Garage,Finish,,,16:05:00,,Duty 303 Finished Duty
304,11:51:00,11:54:00,Garage,SPL,,,,,
304,,,Hazelhatch,L59,Hazelhatch,Riverforest,,12:34:00,
304,,,Riverforest,L59,Riverforest,Hazelhatch,13:15:00,13:55:00,
304,,,Garage,Finish,,,14:40:00,,
304,15:54:00,15:57:00,Garage,SPL,,,,,
304,,,Hazelhatch,L59,Hazelhatch,Riverforest,,16:37:00,
304,,,Riverforest,L59,Riverforest,Hazelhatch,17:15:00,18:08:00,
304,,,Hazelhatch,L59,Hazelhatch,Riverforest,18:08:00,18:45:00,
304,,,Riverforest,L58,Riverforest,Hazelhatch,18:45:00,19:30:00,
304,,,Hazelhatch,L58,Hazelhatch,Riverforest,19:30:00,20:00:00,
304,,,Garage,Finish,,,20:35:00,,Duty 304 Finished Duty
305,12:07:00,12:10:00,Garage,SPL,,,,,
305,,,Riverforest,L59,Riverforest,Hazelhatch,,12:45:00,
305,,,Hazelhatch,L58,Hazelhatch,Riverforest,13:30:00,14:00:00,
305,,,Riverforest,L58,Riverforest,Hazelhatch,14:00:00,14:36:00,
305,,,Hazelhatch,L59,Hazelhatch,Riverforest,14:36:00,15:15:00,
305,,,Riverforest,L59,Riverforest,Hazelhatch,15:15:00,15:55:00,
305,,,Garage,Finish,,,16:40:00,,
305,17:55:00,17:58:00,Garage,SPL,,,,,
305,,,Hazelhatch,L59,Hazelhatch,Riverforest,,18:38:00,
305,,,Riverforest,L59,Riverforest,Hazelhatch,19:15:00,20:10:00,
305,,,Hazelhatch,L59,Hazelhatch,Riverforest,20:10:00,20:45:00,
305,,,Riverforest,L59,Riverforest,Hazelhatch,20:45:00,21:15:00,
305,,,Garage,Finish,,,21:55:00,,Duty 305 Finished Duty
306,12:22:00,12:25:00,Garage,SPL,,,,,
306,,,Riverforest,L58,Riverforest,Hazelhatch,,13:00:00,
306,,,Hazelhatch,L59,Hazelhatch,Riverforest,13:34:00,14:15:00,
306,,,Riverforest,L59,Riverforest,Hazelhatch,14:15:00,15:07:00,
306,,,Hazelhatch,L59,Hazelhatch,Riverforest,15:07:00,15:45:00,
306,,,Riverforest,L59,Riverforest,Hazelhatch,15:45:00,16:25:00,
306,,,Garage,Finish,,,17:10:00,,
306,18:27:00,18:30:00,Garage,SPL,,,,,
306,,,Hazelhatch,L59,Hazelhatch,Riverforest,,19:10:00,
306,,,Riverforest,L59,Riverforest,Hazelhatch,19:45:00,20:30:00,
306,,,Hazelhatch,L58,Hazelhatch,Riverforest,20:30:00,21:00:00,
306,,,Garage,Finish,,,21:35:00,,Duty 306 Finished Duty
307,13:22:00,13:25:00,Garage,SPL,,,,,
307,,,Hazelhatch,L59,Hazelhatch,Riverforest,,14:05:00,
307,,,Riverforest,L59,Riverforest,Hazelhatch,14:45:00,15:25:00,
307,,,Garage,Finish,,,16:05:00,,
307,17:07:00,17:10:00,Garage,SPL,,,,,
307,,,Riverforest,L59,Riverforest,Hazelhatch,,17:45:00,
307,,,Hazelhatch,L58,Hazelhatch,Riverforest,18:30:00,19:00:00,
307,,,Riverforest,L59,Riverforest,Hazelhatch,19:00:00,19:40:00,
307,,,Hazelhatch,L59,Hazelhatch,Riverforest,19:40:00,20:15:00,
307,,,Riverforest,L59,Riverforest,Hazelhatch,20:15:00,20:45:00,
307,,,Garage,Finish,,,21:25:00,,Duty 307 Finished Duty
308,15:47:00,15:50:00,Garage,SPL,,,,,
308,,,Hazelhatch,L58,Hazelhatch,Riverforest,,16:30:00,
308,,,Riverforest,L58,Riverforest,Hazelhatch,17:00:00,17:30:00,
308,,,Hazelhatch,L58,Hazelhatch,Riverforest,17:30:00,18:00:00,
308,,,Riverforest,L58,Riverforest,Hazelhatch,18:00:00,18:27:00,
308,,,Garage,Finish,,,19:12:00,,
308,20:22:00,20:25:00,Garage,SPL,,,,,
308,,,Riverforest,L58,Riverforest,Hazelhatch,,21:00:00,
308,,,Hazelhatch,L58,Hazelhatch,Riverforest,21:30:00,22:00:00,
308,,,Riverforest,L58,Riverforest,Hazelhatch,22:00:00,22:30:00,
308,,,Hazelhatch,L58,Hazelhatch,Riverforest,22:30:00,23:00:00,
308,,,Riverforest,L58,Riverforest,Hazelhatch,23:00:00,23:30:00,
308,,,Garage,Finish,,,00:30:00,,Duty 308 Finished Duty
309,16:57:00,17:00:00,Garage,SPL,,,,,
309,,,Hazelhatch,L59,Hazelhatch,Riverforest,,17:40:00,
309,,,Riverforest,L59,Riverforest,Hazelhatch,18:15:00,18:50:00,
309,,,Garage,Finish,,,19:30:00,,
309,20:30:00,20:33:00,Garage,SPL,,,,,
309,,,Hazelhatch,L59,Hazelhatch,Riverforest,,21:13:00,
309,,,Riverforest,L59,Riverforest,Hazelhatch,21:45:00,22:13:00,
309,,,Hazelhatch,L59,Hazelhatch,Riverforest,22:13:00,22:45:00,
309,,,Riverforest,L59,Riverforest,Hazelhatch,22:45:00,23:28:00,
309,,,Hazelhatch,L59,Hazelhatch,Riverforest,23:28:00,23:58:00,
309,,,Garage,Finish,,,00:28:00,,Duty 309 Finished Duty
310,19:22:00,19:25:00,Garage,SPL,,,,,
310,,,Riverforest,L58,Riverforest,Hazelhatch,,20:00:00,
310,,,Hazelhatch,L59,Hazelhatch,Riverforest,20:41:00,21:15:00,
310,,,Riverforest,L59,Riverforest,Hazelhatch,21:15:00,21:43:00,
310,,,Hazelhatch,L59,Hazelhatch,Riverforest,21:43:00,22:15:00,
310,,,Riverforest,L59,Riverforest,Hazelhatch,22:15:00,22:43:00,
310,,,Hazelhatch,L59,Hazelhatch,Riverforest,22:43:00,23:30:00,
310,,,Riverforest,L59,Riverforest,Hazelhatch,23:30:00,00:00:00,
310,,,Garage,Finish,,,00:35:00,,Duty 310 Finished Duty
351,08:25:00,08:33:00,Garage,SPL,,,,,
351,,,Hazelhatch,L59,Hazelhatch,Riverforest,,09:13:00,
351,,,Riverforest,L59,Riverforest,Hazelhatch,09:45:00,10:30:00,
351,,,Hazelhatch,L58,Hazelhatch,Riverforest,10:30:00,11:00:00,
351,,,Riverforest,L58,Riverforest,Hazelhatch,11:00:00,11:30:00,
351,,,Hazelhatch,L58,Hazelhatch,Riverforest,11:30:00,12:00:00,
351,,,Riverforest,L58,Riverforest,Hazelhatch,12:00:00,12:32:00,
351,,,Garage,Finish,,,13:12:00,,
351,14:47:00,14:50:00,Garage,SPL,,,,,
351,,,Hazelhatch,L58,Hazelhatch,Riverforest,,15:30:00,
