Duty,Reports,Departs,Location,Route,From,To,Arrival,Departure,Notes
301,07:12:00,07:20:00,Garage,SPL,,,,,
301,,,Hazelhatch,L58,Hazelhatch,Riverforest,,08:00:00,
301,,,Riverforest,L59,Riverforest,Hazelhatch,08:30:00,09:00:00,
301,,,Hazelhatch,L58,Hazelhatch,Riverforest,09:00:00,09:30:00,
301,,,Riverforest,L59,Riverforest,Hazelhatch,09:30:00,10:00:00,
301,,,Hazelhatch,L58,Hazelhatch,Riverforest,10:00:00,10:20:00,
301,,,Hazelhatch,L59,Hazelhatch,Riverforest,10:45:00,11:15:00,
301,,,Riverforest,L59,Riverforest,Hazelhatch,11:15:00,12:10:00,
301,,,Garage,Finish,,,12:50:00,,Duty 301 Finished Duty (Workout)
302,07:17:00,07:25:00,Garage,SPL,,,,,
302,,,Riverforest,L58,Riverforest,Hazelhatch,,08:00:00,
302,,,Hazelhatch,L59,Hazelhatch,Riverforest,08:32:00,09:00:00,
302,,,Riverforest,L58,Riverforest,Hazelhatch,09:00:00,09:31:00,
302,,,Hazelhatch,L59,Hazelhatch,Riverforest,09:31:00,10:00:00,
302,,,Riverforest,L58,Riverforest,Hazelhatch,10:00:00,10:30:00,
302,,,Hazelhatch,L58,Hazelhatch,Riverforest,10:30:00,11:00:00,
302,,,Riverforest,L58,Riverforest,Hazelhatch,11:00:00,11:40:00,
302,,,Hazelhatch,L59,Hazelhatch,Riverforest,11:40:00,12:15:00,
302,,,Garage,Finish,,,12:55:00,,Duty 302 Finished Duty (Workout)
303,11:32:00,11:40:00,Garage,SPL,,,,,
303,,,Riverforest,L59,Riverforest,Hazelhatch,,12:15:00,
303,,,Hazelhatch,L59,Hazelhatch,Riverforest,13:09:00,13:45:00,
303,,,Riverforest,L59,Riverforest,Hazelhatch,13:45:00,14:40:00,
303,,,Hazelhatch,L59,Hazelhatch,Riverforest,14:40:00,15:15:00,
303,,,Riverforest,L59,Riverforest,Hazelhatch,15:15:00,15:45:00,
303,,,Garage,Finish,,,16:25:00,,
303,17:47:00,17:50:00,Garage,SPL,,,,,
303,,,Hazelhatch,L58,Hazelhatch,Riverforest,,18:30:00,
303,,,Riverforest,L58,Riverforest,Hazelhatch,19:00:00,19:30:00,
303,,,Hazelhatch,L58,Hazelhatch,Riverforest,19:30:00,19:55:00,
303,,,Garage,Finish,,,20:30:00,,Duty 303 Finished Duty
304,11:52:00,12:00:00,Garage,SPL,,,,,
304,,,Hazelhatch,L59,Hazelhatch,Riverforest,,12:40:00,
304,,,Riverforest,L59,Riverforest,Hazelhatch,13:15:00,14:10:00,
304,,,Hazelhatch,L59,Hazelhatch,Riverforest,14:10:00,14:45:00,
304,,,Riverforest,L58,Riverforest,Hazelhatch,14:45:00,15:30:00,
304,,,Hazelhatch,L58,Hazelhatch,Riverforest,15:30:00,16:00:00,
304,,,Riverforest,L58,Riverforest,Hazelhatch,16:00:00,16:25:00,
304,,,Garage,Finish,,,17:05:00,,
304,18:32:00,18:35:00,Garage,SPL,,,,,
304,,,Riverforest,L59,Riverforest,Hazelhatch,,19:10:00,
304,,,Hazelhatch,L59,Hazelhatch,Riverforest,19:41:00,20:15:00,
304,,,Riverforest,L59,Riverforest,Hazelhatch,20:15:00,20:45:00,
304,,,Garage,Finish,,,21:25:00,,Duty 304 Finished Duty
305,12:42:00,12:50:00,Garage,SPL,,,,,
305,,,Hazelhatch,L58,Hazelhatch,Riverforest,,13:30:00,
305,,,Riverforest,L58,Riverforest,Hazelhatch,14:00:00,14:30:00,
305,,,Hazelhatch,L58,Hazelhatch,Riverforest,14:30:00,15:00:00,
305,,,Riverforest,L59,Riverforest,Hazelhatch,15:00:00,15:40:00,
305,,,Hazelhatch,L59,Hazelhatch,Riverforest,15:40:00,16:15:00,
305,,,Garage,Finish,,,16:50:00,,
305,19:02:00,19:05:00,Garage,SPL,,,,,
305,,,Riverforest,L59,Riverforest,Hazelhatch,,19:40:00,
305,,,Hazelhatch,L59,Hazelhatch,Riverforest,20:12:00,20:45:00,
305,,,Riverforest,L59,Riverforest,Hazelhatch,20:45:00,21:12:00,
305,,,Hazelhatch,L59,Hazelhatch,Riverforest,21:12:00,21:42:00,
