RUNNING BOARD,,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Monday to Friday,,,,,BUS 1,23.08.26,,,,
,,,,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep,,,
,,,,,,,,,,,,,,
,Duty,401,Reports at 04:12,,,,Duty,452,Reports at 13:02,,,,,
SPL,,,Departs Garage,,04:20,SPL,,,Departs Garage,,13:05,,,
24,,,Dublin Airport,,04:50,24,,,Dublin Airport,,13:50,,,
,,,,,,,,,,,,,,
23,,,Merrion Square,,06:10,24,,,Merrion Square,,15:20,,,
,,,,,,,,,Constitution Hill (Stop #1619),16:00,,,,
23,,,Charlestown SC,,07:20,,Finish,Duty,,,,,,
,,,,,,,,,,,,,,
24,,,Merrion Square,,09:20,,Duty,435,Takes up at 16:00 Constitution Hill,,,,,
,,,Constitution Hill (Stop #1619),09:50,,,,,Constitution Hill (Stop #1619),,16:00,,,
,Finish,Duty,,,,24,,,Dublin Airport,,17:10,,,
,Duty,410,Takes up at 09:50 Constitution Hill,,,,,,Broadstone (Stop #190),18:10,,,,
24,,,Dublin Airport,,10:50,,Duty,435,Takes Bus 2 at 19:25 at Broadstone,,,,,
,,,,,,,,,,,,,,
,,,Merrion Square,12:20,,,Duty,421,Takes up at 18:10 Broadstone,,,,,
,,,Phibsboro Garage,12:50,,,,,Broadstone (Stop #190),,18:10,,,
,Finish,Duty,,,,24,,,Merrion Square,,19:00,,,
,,,,,,,,,,,,,,
,,,,,,24,,,Dublin Airport,,20:30,,,
,,,,,,,,,Broadstone (Stop #190),21:20,,,,
,,,,,,,Finish,Duty,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Duty,430,Takes up at 21:20 Broadstone,,,,,
,,,,,,,,,Broadstone (Stop #190),,21:20,,,
,,,,,,24,,,Merrion Square,,22:00,,,
,,,,,,,,,,,,,,
,,,,,,SPL,,,Dublin Airport,23:20,,,,
,,,,,,,,,Phibsboro Garage,23:55,,,,
,,,,,,,Finish,Duty,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Monday to Friday,,,,,BUS 2,23.08.26,,,,
,,,,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep,,,
,,,,,,,,,,,,,,
,Duty,402,Reports at 04:32,,,,Duty,427,Reports at 13:37,,,,,
SPL,,,Departs Garage,,04:40,SPL,,,Departs Garage,,13:40,,,
24,,,Dublin Airport,,05:10,23,,,Merrion Square,,14:10,,,
,,,,,,,,,,,,,,
23,,,Merrion Square,,06:30,23,,,Charlestown SC,,15:20,,,
,,,,,,,,,Broadstone (Stop #190),16:00,,,,
23,,,Charlestown SC,,07:40,,Duty,427,Take bus 17   17:15 Broadstone,,,,,
,,,,,,,,,,,,,,
SPL,,,Merrion Square,09:10,,,Duty,455,Takes up at 16:00 Broadstone,,,,,
,,,Phibsboro Garage,09:40,,,,,Broadstone (Stop #190),,16:00,,,
,Duty,402,Takes Bus 7 at 10:45 at Constitution Hill,,,24,,,Merrion Square,,16:40,,,
,,,,,,,,,,,,,,
,,,,,,24,,,Dublin Airport,,18:30,,,
,,,,,,,,,Broadstone (Stop #190),19:25,,,,
,,,,,,,Finish,Duty,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Duty,435,Takes up at 19:25 Broadstone,,,,,
,,,,,,,,,Broadstone (Stop #190),,19:25,,,
,,,,,,24,,,Merrion Square,,20:00,,,
,,,,,,,,,,,,,,
,,,,,,24,,,Dublin Airport,,21:30,,,
,,,,,,,,,,,,,,
,,,,,,23,,,Merrion Square,,22:50,,,
,,,,,,,,,,,,,,
,,,,,,SPL,,,Charlestown SC,23:50,,,,
,,,,,,,,,Phibsboro Garage,00:20,,,,
,,,,,,,Finish,Duty,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Monday to Friday,,,,,BUS 3,23.08.26,,,,
,,,,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep,,,
,,,,,,,,,,,,,,
,Duty,403,Reports at 04:42,,,,,,,,,,,
SPL,,,Departs Garage,,04:50,,,,,,,,,
23,,,Charlestown SC,,05:20,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Merrion Square,,06:20,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Dublin Airport,,07:50,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Merrion Square,,09:40,,,,,,,,,
,,,Constitution Hill (Stop #1619),10:15,,,,,,,,,,
,Finish,Duty,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Duty,404,Takes up at 10:15 Constitution Hill,,,,,,,,,,,
,,,Constitution Hill (Stop #1619),,10:15,,,,,,,,,
24,,,Dublin Airport,,11:10,,,,,,,,,
,,,Broadstone (Stop #190),12:10,,,,,,,,,,
,Finish,Duty,,,,,,,,,,,,
,Duty,422,Takes up at 12:10 Broadstone,,,,,,,,,,,
,,,Broadstone (Stop #190),,12:10,,,,,,,,,
24,,,Merrion Square,,12:40,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Dublin Airport,,14:10,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Merrion Square,,15:40,,,,,,,,,
,,,Constitution Hill (Stop #1619),16:25,,,,,,,,,,
,Duty,422,Takes Bus 11 at 17:40 Constitution Hill,,,,,,,,,,,
,Duty,457,Takes up at 16:25 Constitution Hill,,,,,,,,,,,
,,,Constitution Hill (Stop #1619),,16:25,,,,,,,,,
24,,,Dublin Airport,,17:30,,,,,,,,,
,,,,,,,,,,,,,,
SPL,,,Merrion Square,19:20,,,,,,,,,,
,,,Phibsboro Garage,19:50,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,,
