RUNNING BOARD,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,
Routes 23/24,, ,Phibsboro (007),Sunday/Bank Holiday,,,,,BUS 1,19.10.2025,,,
 , , , , , , , , ,, , ,,
Route, , ,Place,Arr,Dep,Route, , ,Place,Arr,Dep,,
 , , , , , , , , , , , ,,
 ,Duty,401,Reports at 04:17, , , ,Duty,412,Reports at 16:17, , ,,
SPL, , ,Departs Garage, ,04:25,SPL, , ,Departs Garage, ,16:25,,
24, , ,Dublin Airport, ,04:55,23, , ,Merrion Square, ,16:45,,
 , , , , , , , , , , , ,,
24, , ,Merrion Square, ,06:00,23, , ,Charlestown SC, ,17:55,,
 , , , , , , , , , , , ,,
24, , ,Dublin Airport, ,07:20,24, , ,Merrion Square, ,19:00,,
 , , , , , , , , , , , ,,
24, , ,Merrion Square, ,08:40,SPL, , ,Dublin Airport,20:25, ,,
 , , ,Constitution Hill (Stop #1619),09:05, , , , ,Phibsboro Garage,20:55, ,,
 ,Finish,Duty, , , , ,Finish,Duty, , , ,,
 , , , , , , , , , , , ,,
 ,Duty,452,Takes up at 09:05 Constitution Hill, , , , , , , , ,,
 , , ,Constitution Hill (Stop #1619), ,09:05, , , , , , ,,
24, , ,Dublin Airport, ,10:20, , , , , , ,,
 , , , , , , , , , , , ,,
23, , ,Merrion Square, ,11:45, , , , , , ,,
 , , ,Constitution Hill (Stop #1619),12:15, , , , , , , ,,
 ,Duty,452,Takes Bus 9 at 13:30 at Constitution Hill, , , , , , , , ,,
 , , , , , , , , , , , ,,
 ,Duty,406,Takes up at 12:15 Constitution Hill, , , , , , , , ,,
 , , ,Constitution Hill (Stop #1619), ,12:15, , , , , , ,,
23, , ,Charlestown SC, ,12:55, , , , , , ,,
 , , , , , , , , , , , ,,
SPL, , ,Merrion Square,14:00, , , , , , , ,,
 , , ,Phibsboro Garage,14:20, , , , , , , ,,
 ,Finish,Duty, , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
RUNNING BOARD,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,
Routes 23/24,, ,Phibsboro (007),Sunday/Bank Holiday,,,,,BUS 2,19.10.2025,,,
 , , , , , , , , ,, , ,,
Route, , ,Place,Arr,Dep,Route, , ,Place,Arr,Dep,,
 , , , , , , , , , , , ,,
 ,Duty,402,Reports at 04:47, , , ,Duty,411,Reports at 18:52, , ,,
SPL, , ,Departs Garage, ,04:55,SPL, , ,Departs Garage, ,18:55,,
24, , ,Dublin Airport, ,05:25,23, , ,Charlestown SC, ,19:25,,
 , , , , , , , , , , , ,,
24, , ,Merrion Square, ,06:30,24, , ,Merrion Square, ,20:30,,
 , , , , , , , , ,Constitution Hill (Stop #1619),20:55, ,,
24, , ,Dublin Airport, ,08:00, ,Finish,Duty, , , ,,
 , , , , , , , , , , , ,,
SPL, , ,Merrion Square,09:20, , ,Duty,472,Takes up at 20:55 Constitution Hill, , ,,
 , , ,Phibsboro Garage,09:40, , , , ,Constitution Hill (Stop #1619), ,20:55,,
 ,Finish,Duty, , , ,24, , ,Dublin Airport, ,21:55,,
 , , , , , , , , , , , ,,
 , , , , , ,23, , ,Merrion Square, ,23:20,,
 ,Duty,415,Reports at 13:37, , , , , , , , ,,
SPL, , ,Departs Garage, ,13:40,SPL, , ,Charlestown SC,00:20, ,,
24, , ,Merrion Square, ,14:00, , , ,Phibsboro Garage,00:45, ,,
 , , , , , , ,Duty,472,Takes Bus 8 at 03:07 at Phibsboro Garage, , ,,
24, , ,Dublin Airport, ,15:20, , , , , , ,,
 , , , , , , , , , , , ,,
SPL, , ,Merrion Square,16:45, , , , , , , ,,
 , , ,Phibsboro Garage,17:05, , , , , , , ,,
 ,Duty,415,Takes Bus 4 at 18:07 at Phibsboro Garage, , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
RUNNING BOARD,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,
Routes 23/24,, ,Phibsboro (007),Sunday/Bank Holiday,,,,,BUS 3,19.10.2025,,,
 , , , , , , , , ,, , ,,
Route, , ,Place,Arr,Dep,Route, , ,Place,Arr,Dep,,
 , , , , , , , , , , , ,,
 ,Duty,403,Reports at 05:02, , , ,Duty,414,Reports at 17:37, , ,,
SPL, , ,Departs Garage, ,05:10,SPL, , ,Departs Garage, ,17:40,,
24, , ,Merrion Square, ,05:30,24, , ,Merrion Square, ,18:00,,
 , , , , , , , , , , , ,,
24, , ,Dublin Airport, ,06:45,24, , ,Dublin Airport, ,19:20,,
 , , , , , , , , , , , ,,
24, , ,Merrion Square, ,08:00,23, , ,Merrion Square, ,20:45,,
 , , , , , , , , ,Constitution Hill (Stop #1619),21:10, ,,
SPL, , ,Dublin Airport,09:20, , ,Finish,Duty, , , ,,
 , , ,Phibsboro Garage,09:50, , , , , , , ,,
 ,Duty,403,Takes Bus 6 at 11:00 at Constitution Hill, , , ,Duty,473,Takes up at 21:10 Constitution Hill, , ,,
 , , , , , , , , ,Constitution Hill (Stop #1619), ,21:10,,
 , , , , , ,23, , ,Charlestown SC, ,22:00,,
 , , , , , , , , , , , ,,
 , , , , , ,24, , ,Merrion Square, ,23:00,,
 , , , , , , , , , , , ,,
 , , , , , ,SPL, , ,Dublin Airport,00:20, ,,
 , , , , , , , , ,Phibsboro Garage,00:50, ,,
 , , , , , , ,Duty,473,Takes Bus 7 at 02:57 at Phibsboro Garage, , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
